Seconds_Since_Start,Score_Difference
37,2
51,0
67,2
81,-1
103,1
209,3
231,1
281,3
356,5
432,7
454,5
476,3
496,0
515,3
541,0
641,3
664,0
674,1
697,-2
740,-5
791,-2
814,-4
837,-2
849,-5
911,-3
935,-1
953,-3
976,-5
999,-7
1046,-5
1059,-7
1082,-5
1093,-8
1119,-10
1142,-8
1156,-10
1177,-13
1189,-11
1204,-13
1232,-11
1266,-13
1287,-11
1294,-13
1311,-11
1325,-13
1357,-16
1377,-13
1404,-12
1436,-10
1503,-8
1522,-11
1537,-9
1576,-7
1592,-9
1605,-7
1619,-10
1663,-12
1673,-9
1701,-12
1753,-9
1790,-6
1803,-8
1818,-6
1833,-3
1870,-5
1890,-7
1921,-10
1949,-12
1973,-10
2001,-8
2011,-10
2039,-13
2099,-11
2156,-13
2185,-15
2208,-13
2241,-15
2277,-13
2315,-15
2359,-17
2377,-15
2402,-13
2442,-10
2488,-13
2502,-11
2512,-13
2557,-10
2583,-12
2610,-14
2644,-12
2684,-10
2710,-8
2728,-10
2753,-12
2778,-10
2816,-8
2832,-5
2840,-7
2857,-5
2862,-7
2864,-4
2868,-6
2875,-3
2877,-4
